USER,PID,%CPU,%MEM,COMMAND
root,2045,0.0,0.0,/usr/bin/vmnet-netifup
root,2061,0.0,0.0,/usr/bin/vmnet-dhcpd
root,2123,0.0,0.0,/usr/sbin/vmware-authdlauncher
_gvm,2201,0.6,0.6,/usr/bin/python3
_gvm,2205,0.0,0.2,/usr/bin/python3
_gvm,2223,0.3,1.8,gvmd:
root,2309,0.0,0.0,[kworker/R-dio/nvme0n1p2]
postgres,2313,0.0,0.1,postgres:
USER,PID,%CPU,%MEM,COMMAND
root,2388,0.0,0.1,/usr/lib/x86_64-linux-gnu/sddm/sddm-helper
AKNINJA,2414,0.0,0.0,/usr/lib/systemd/systemd
AKNINJA,2420,0.0,0.0,(sd-pam)
AKNINJA,2446,0.0,0.0,/usr/bin/dbus-daemon
AKNINJA,2447,0.0,0.1,/usr/bin/pipewire
AKNINJA,2450,0.0,0.0,/usr/bin/gnome-keyring-daemon
AKNINJA,2452,0.0,0.0,/usr/bin/mpris-proxy
AKNINJA,2453,0.0,0.2,/usr/bin/wireplumber
AKNINJA,2455,0.0,0.0,/usr/bin/pipewire
AKNINJA,2457,0.0,0.0,/usr/bin/pipewire-pulse
AKNINJA,2480,0.0,0.1,/usr/bin/ksecretd
AKNINJA,2481,0.0,0.0,/usr/libexec/gnome-session-init-worker
AKNINJA,2558,0.0,0.0,/usr/libexec/gcr-ssh-agent
AKNINJA,2559,0.0,0.0,/usr/libexec/gnome-session-ctl
AKNINJA,2560,0.0,0.0,/usr/bin/ssh-agent
AKNINJA,2574,0.0,0.0,/usr/libexec/gvfsd
AKNINJA,2582,0.0,0.0,/usr/libexec/gvfsd-fuse
AKNINJA,2584,0.0,0.0,/usr/libexec/gnome-session-service
AKNINJA,2600,11.1,2.4,/usr/bin/gnome-shell
AKNINJA,2643,0.0,0.0,/usr/libexec/at-spi-bus-launcher
AKNINJA,2650,0.0,0.0,/usr/bin/dbus-daemon
AKNINJA,2652,0.0,0.0,/usr/libexec/at-spi2-registryd
colord,2653,0.0,0.0,/usr/libexec/colord
USER,PID,%CPU,%MEM,COMMAND
AKNINJA,2676,0.0,0.0,/usr/libexec/dconf-service
AKNINJA,2695,0.0,0.0,/usr/libexec/xdg-permission-store
AKNINJA,2696,0.0,0.1,/usr/libexec/gnome-shell-calendar-server
AKNINJA,2706,0.0,0.3,/usr/libexec/evolution-source-registry
AKNINJA,2712,0.0,0.1,/usr/bin/gjs
root,2714,0.0,0.0,/usr/libexec/upowerd
AKNINJA,2727,0.0,0.0,/usr/libexec/gsd-a11y-settings
AKNINJA,2728,0.0,0.0,/usr/libexec/gsd-color
AKNINJA,2729,0.0,0.0,/usr/libexec/gsd-datetime
AKNINJA,2738,0.0,0.0,/usr/libexec/gsd-housekeeping
AKNINJA,2739,0.0,0.0,/usr/libexec/gsd-keyboard
AKNINJA,2740,0.0,0.0,/usr/libexec/gsd-media-keys
AKNINJA,2741,0.0,0.0,ibus-daemon
AKNINJA,2743,0.0,0.0,/usr/libexec/gsd-power
AKNINJA,2744,0.0,0.0,/usr/libexec/gsd-print-notifications
AKNINJA,2747,0.0,0.0,/usr/libexec/gsd-rfkill
AKNINJA,2749,0.0,0.0,/usr/libexec/gsd-screensaver-proxy
AKNINJA,2750,0.0,0.0,/usr/libexec/gsd-sharing
AKNINJA,2751,0.0,0.0,/usr/libexec/gsd-smartcard
AKNINJA,2753,0.0,0.0,/usr/libexec/gsd-sound
AKNINJA,2755,0.0,0.0,/usr/libexec/gsd-usb-protection
AKNINJA,2756,0.0,0.0,/usr/libexec/gsd-wwan
AKNINJA,2759,0.0,0.5,/usr/libexec/evolution-data-server/evolution-alarm-notify
USER,PID,%CPU,%MEM,COMMAND
AKNINJA,2772,0.1,0.8,/usr/bin/gnome-software
AKNINJA,2781,0.9,0.4,/usr/bin/kdeconnectd
AKNINJA,2803,0.0,0.4,/usr/bin/python3
AKNINJA,2825,0.0,0.0,/usr/libexec/gsd-disk-utility-notify
AKNINJA,2905,0.0,0.0,/usr/libexec/gsd-printer
root,2909,0.0,0.0,/usr/libexec/udisks2/udisksd
AKNINJA,2910,0.0,0.1,/usr/bin/gjs
AKNINJA,2973,0.0,0.1,/usr/libexec/xdg-desktop-portal
pcscd,3011,0.0,0.0,/usr/sbin/pcscd
AKNINJA,3023,0.0,0.0,/usr/libexec/xdg-document-portal
AKNINJA,3041,0.0,0.1,/usr/libexec/localsearch-3
root,3052,0.0,0.0,fusermount3
AKNINJA,3059,0.0,0.3,/usr/libexec/xdg-desktop-portal-gnome
root,3060,0.0,0.0,/usr/libexec/power-profiles-daemon
AKNINJA,3081,0.0,0.0,/usr/libexec/gvfs-udisks2-volume-monitor
AKNINJA,3094,0.0,0.1,/usr/libexec/goa-daemon
AKNINJA,3098,0.0,0.0,/usr/libexec/gvfs-goa-volume-monitor
AKNINJA,3105,0.0,0.0,/usr/libexec/goa-identity-service
AKNINJA,3119,0.0,0.1,/usr/libexec/evolution-calendar-factory
AKNINJA,3120,0.0,0.0,/usr/libexec/gvfs-mtp-volume-monitor
AKNINJA,3128,0.0,0.0,/usr/libexec/gvfs-afc-volume-monitor
AKNINJA,3137,0.0,0.0,/usr/libexec/gvfs-gphoto2-volume-monitor
AKNINJA,3145,0.0,0.5,/usr/bin/Xwayland
USER,PID,%CPU,%MEM,COMMAND
AKNINJA,3152,0.0,0.1,/usr/libexec/evolution-addressbook-factory
AKNINJA,3223,0.0,0.0,/usr/libexec/gvfsd-trash
AKNINJA,3238,0.0,0.0,/usr/libexec/gvfsd-recent
AKNINJA,3281,0.0,0.1,/usr/libexec/bluetooth/obexd
AKNINJA,3283,0.2,0.3,/usr/bin/python3
AKNINJA,3305,0.0,0.6,/usr/libexec/mutter-x11-frames
AKNINJA,3308,0.2,0.0,ibus-daemon
AKNINJA,3323,0.0,0.0,/usr/libexec/ibus-dconf
AKNINJA,3325,0.3,0.2,/usr/libexec/ibus-extension-gtk3
AKNINJA,3327,0.0,0.4,/usr/libexec/ibus-x11
AKNINJA,3332,0.0,0.0,/usr/libexec/ibus-portal
AKNINJA,3345,0.0,0.4,gjs
AKNINJA,3371,0.0,0.0,/usr/libexec/ibus-engine-simple
AKNINJA,3390,0.0,0.0,/usr/libexec/gvfsd-metadata
AKNINJA,3413,0.0,0.1,/usr/libexec/xdg-desktop-portal-gtk
root,3483,0.1,0.2,/usr/libexec/fwupd/fwupd
AKNINJA,3499,0.0,0.0,/bin/bash
AKNINJA,3504,0.0,0.0,cat
AKNINJA,3505,0.0,0.0,cat
AKNINJA,3506,4.5,2.9,/opt/brave.com/brave/brave
AKNINJA,3508,0.0,0.0,/opt/brave.com/brave/chrome_crashpad_handler
AKNINJA,3510,0.0,0.0,/opt/brave.com/brave/chrome_crashpad_handler
AKNINJA,3516,0.0,0.4,/opt/brave.com/brave/brave
USER,PID,%CPU,%MEM,COMMAND
AKNINJA,3517,0.0,0.4,/opt/brave.com/brave/brave
AKNINJA,3519,0.0,0.1,/opt/brave.com/brave/brave
AKNINJA,3566,4.7,1.6,/opt/brave.com/brave/brave
AKNINJA,3572,1.0,0.8,/opt/brave.com/brave/brave
AKNINJA,3602,0.0,0.3,/opt/brave.com/brave/brave
AKNINJA,3628,0.0,0.6,/opt/brave.com/brave/brave
AKNINJA,3637,12.6,2.8,/opt/brave.com/brave/brave
AKNINJA,3658,0.0,0.6,/opt/brave.com/brave/brave
AKNINJA,4056,5.6,2.1,/opt/brave.com/brave/brave
AKNINJA,5684,0.6,0.3,/usr/libexec/gnome-terminal-server
AKNINJA,5698,0.0,0.0,bash
root,6064,0.0,0.0,[kworker/5:1-mm_percpu_wq]
AKNINJA,6371,0.0,0.0,/usr/libexec/gvfsd-network
AKNINJA,6381,0.0,0.0,/usr/libexec/gvfsd-dnssd
AKNINJA,6387,0.0,0.0,/usr/libexec/gvfsd-wsdd
AKNINJA,6398,0.0,0.2,python3
root,9415,0.0,0.0,[kworker/8:1-events]
root,9706,0.1,0.0,[kworker/u48:0-i915]
root,9826,0.0,0.0,[kworker/10:0-events]
root,10018,0.0,0.0,[kworker/1:0-mm_percpu_wq]
root,10031,0.0,0.0,[kworker/4:1-mm_percpu_wq]
root,10188,0.0,0.0,[kworker/9:2-mm_percpu_wq]
root,10439,0.0,0.0,[kworker/3:0-usb_hub_wq]
USER,PID,%CPU,%MEM,COMMAND
root,10625,0.0,0.0,[kworker/11:0-mm_percpu_wq]
root,11744,0.0,0.0,[kworker/6:0-pm]
root,12695,0.1,0.0,[kworker/u49:2-hci0]
root,13210,0.1,0.0,[kworker/u48:1-kvfree_rcu_reclaim]
root,13496,0.0,0.0,[kworker/2:0-i915-unordered]
root,13911,0.0,0.0,[kworker/4:2-usb_hub_wq]
root,15223,0.0,0.0,[kworker/7:1-mm_percpu_wq]
AKNINJA,16078,4.2,2.2,/opt/brave.com/brave/brave
AKNINJA,16161,0.0,0.5,/opt/brave.com/brave/brave
AKNINJA,17317,0.0,0.7,/opt/brave.com/brave/brave
root,17756,0.0,0.0,[kworker/5:0-usb_hub_wq]
root,19174,0.0,0.0,[kworker/8:0-usb_hub_wq]
root,19356,0.1,0.0,[kworker/u48:2-events_unbound]
root,19693,0.0,0.0,[kworker/10:2-events]
root,19815,0.0,0.0,[kworker/9:0-events]
root,20148,0.0,0.0,[kworker/u49:0-hci0]
root,20285,0.0,0.0,[kworker/7:0-events]
AKNINJA,20764,0.0,0.4,/opt/brave.com/brave/brave
root,21238,0.0,0.0,[kworker/0:3-usb_hub_wq]
root,21275,0.0,0.0,[kworker/6:1-usb_hub_wq]
root,21528,0.0,0.0,[kworker/8:2-events_power_efficient]
root,21603,0.0,0.0,[kworker/5:2-events]
root,21938,0.0,0.0,[kworker/3:2-events]
USER,PID,%CPU,%MEM,COMMAND
root,23310,0.0,0.0,[kworker/4:0-events]
root,23432,0.0,0.0,[kworker/6:2-events]
root,23433,0.0,0.0,[kworker/6:3]
AKNINJA,23476,0.0,0.0,ps
AKNINJA,23477,0.0,0.0,awk
